Rosalind_8846 Rosalind_3157
Rosalind_1272 Rosalind_3887
Rosalind_4525 Rosalind_9255
Rosalind_7764 Rosalind_4920
Rosalind_7764 Rosalind_5735
Rosalind_7120 Rosalind_0216
Rosalind_5613 Rosalind_8435
Rosalind_9545 Rosalind_6890
Rosalind_9545 Rosalind_3981
Rosalind_9545 Rosalind_0993
Rosalind_3780 Rosalind_6306
Rosalind_3780 Rosalind_0676
Rosalind_5905 Rosalind_9117
Rosalind_5905 Rosalind_5191
Rosalind_5905 Rosalind_9393
Rosalind_5905 Rosalind_9181
Rosalind_3608 Rosalind_5860
Rosalind_3608 Rosalind_9704
Rosalind_7507 Rosalind_2820
Rosalind_7507 Rosalind_8171
Rosalind_2655 Rosalind_3887
Rosalind_6142 Rosalind_7764
Rosalind_6142 Rosalind_3066
Rosalind_6142 Rosalind_6741
Rosalind_6142 Rosalind_7251
Rosalind_7859 Rosalind_3329
Rosalind_7633 Rosalind_3329
Rosalind_6140 Rosalind_2385
Rosalind_6140 Rosalind_1998
Rosalind_7592 Rosalind_9964
Rosalind_4974 Rosalind_0545
Rosalind_4974 Rosalind_9785
Rosalind_4974 Rosalind_8663
Rosalind_8435 Rosalind_2385
Rosalind_8435 Rosalind_1998
Rosalind_0545 Rosalind_9117
Rosalind_0545 Rosalind_5191
Rosalind_0545 Rosalind_9393
Rosalind_0545 Rosalind_9181
Rosalind_1469 Rosalind_2385
Rosalind_1469 Rosalind_1998
Rosalind_4054 Rosalind_3532
Rosalind_3157 Rosalind_6620
Rosalind_9728 Rosalind_8614
Rosalind_9728 Rosalind_0118
Rosalind_1259 Rosalind_9117
Rosalind_1259 Rosalind_5191
Rosalind_1259 Rosalind_9393
Rosalind_1259 Rosalind_9181
Rosalind_2017 Rosalind_3887
Rosalind_6741 Rosalind_2853
Rosalind_4904 Rosalind_3887
Rosalind_2568 Rosalind_8614
Rosalind_2568 Rosalind_0118
Rosalind_0878 Rosalind_9545
Rosalind_6258 Rosalind_6306
Rosalind_6258 Rosalind_0676
Rosalind_9117 Rosalind_1033
Rosalind_3887 Rosalind_7120
Rosalind_3887 Rosalind_6142
Rosalind_2015 Rosalind_7633
Rosalind_2015 Rosalind_5572
Rosalind_2015 Rosalind_2069
Rosalind_1731 Rosalind_4666
Rosalind_1731 Rosalind_9011
Rosalind_5860 Rosalind_1272
Rosalind_5860 Rosalind_5905
Rosalind_5860 Rosalind_1259
Rosalind_8614 Rosalind_4666
Rosalind_8614 Rosalind_9011
Rosalind_7251 Rosalind_4920
Rosalind_7251 Rosalind_5735
Rosalind_5723 Rosalind_1033
Rosalind_6890 Rosalind_2655
Rosalind_6890 Rosalind_7101
Rosalind_6890 Rosalind_8256
Rosalind_6890 Rosalind_4667
Rosalind_9107 Rosalind_8361
Rosalind_2195 Rosalind_5613
Rosalind_2195 Rosalind_7859
Rosalind_2195 Rosalind_1733
Rosalind_5191 Rosalind_1469
Rosalind_5191 Rosalind_6462
Rosalind_0118 Rosalind_0216
Rosalind_4764 Rosalind_6777
Rosalind_0216 Rosalind_8435
Rosalind_0676 Rosalind_9255
Rosalind_6780 Rosalind_7633
Rosalind_6780 Rosalind_2015
Rosalind_6780 Rosalind_5572
Rosalind_6780 Rosalind_2069
Rosalind_4666 Rosalind_6890
Rosalind_4666 Rosalind_3981
Rosalind_4666 Rosalind_0993
Rosalind_8567 Rosalind_3608
Rosalind_8567 Rosalind_5723
Rosalind_8567 Rosalind_3171
Rosalind_5777 Rosalind_9728
Rosalind_1115 Rosalind_9728
Rosalind_6620 Rosalind_6890
Rosalind_6620 Rosalind_3981
Rosalind_6620 Rosalind_0993
Rosalind_1033 Rosalind_9388
Rosalind_4920 Rosalind_0216
Rosalind_4127 Rosalind_9117
Rosalind_4127 Rosalind_5191
Rosalind_4127 Rosalind_9393
Rosalind_4127 Rosalind_9181
Rosalind_8256 Rosalind_0216
Rosalind_6292 Rosalind_0878
Rosalind_5572 Rosalind_2655
Rosalind_5572 Rosalind_7101
Rosalind_5572 Rosalind_8256
Rosalind_5572 Rosalind_4667
Rosalind_3981 Rosalind_9255
Rosalind_4667 Rosalind_3887
Rosalind_3171 Rosalind_6140
Rosalind_3171 Rosalind_1731
Rosalind_3171 Rosalind_2195
Rosalind_3171 Rosalind_6292
Rosalind_6462 Rosalind_5613
Rosalind_6462 Rosalind_7859
Rosalind_6462 Rosalind_1733
Rosalind_9388 Rosalind_2853
Rosalind_4290 Rosalind_6780
Rosalind_9255 Rosalind_8846
Rosalind_9255 Rosalind_4764
Rosalind_1998 Rosalind_2655
Rosalind_1998 Rosalind_7101
Rosalind_1998 Rosalind_8256
Rosalind_1998 Rosalind_4667
Rosalind_0993 Rosalind_6620
Rosalind_9393 Rosalind_3608
Rosalind_9393 Rosalind_5723
Rosalind_9393 Rosalind_3171
Rosalind_3532 Rosalind_3780
Rosalind_3532 Rosalind_5592
Rosalind_0099 Rosalind_2017
Rosalind_0099 Rosalind_6258
Rosalind_9116 Rosalind_2853
Rosalind_9181 Rosalind_7764
Rosalind_9181 Rosalind_3066
Rosalind_9181 Rosalind_6741
